params,params,params,params,values,values,values,values,user_attrs
discriminator_steps,epochs,lr,weight_decay,JSD,PCD,PS,WD,file_path
1,1820,0.00362840503547672,1.0509723594931482e-07,0.11595384881321348,1.803842168211862,0.028153492536317788,0.04100287074521947,../../models/hcvdata/CTGAN/e6f00f469fcf7c41e2a406aef8eec17f135ca2c9ed09d9b2e21faf525aa71552.pth
1,1570,5.765102258079528e-05,1.8686501745328425e-05,0.10191296669553826,2.2326493355189876,0.07186444957740908,0.051222832503232674,../../models/hcvdata/CTGAN/9c7dc1bbb63293d3289b8b92074c3e4bb7a37a484b5a2754df984fb405e718ab.pth
4,1950,1.4594476582689546e-05,5.437153428928007e-06,0.10358858120401107,2.2031613716294602,0.028878989361223795,0.025771401008516916,../../models/hcvdata/CTGAN/00e2aacc75795309f897e7942912d14cfe3dd423dadf841fd6e0ae66ed7b3430.pth
5,420,0.0003756181788075824,4.603080560084995e-05,0.11677932195979727,2.0831163549996106,0.04234778042722618,0.06526671577931546,../../models/hcvdata/CTGAN/dec29ec6953eaec9c146e204a2701b472e0fa9492070c5ec3901e1e6f6d8b272.pth
1,1550,0.0006166513776466253,7.736471354084796e-05,0.12262705138635162,1.7124160645607363,0.14739737597154084,0.047576909259334006,../../models/hcvdata/CTGAN/dba5b39487ded05b991d8a728651ac0b69d1e75495dd1b2d699289e9214f53a3.pth
3,1860,0.00021602380893210254,6.635107598227489e-05,0.12275392284069667,1.39287151750896,0.0869843638222578,0.0420676865071385,../../models/hcvdata/CTGAN/e84b9eefed97e7392a5e88b9ee09bc1049ef2517187657eaa856e27df8cd39ce.pth
1,1070,0.00029205090329734027,1.8754370502732014e-05,0.1344395179643271,1.798767162651125,0.1097674984615589,0.0416685680067074,../../models/hcvdata/CTGAN/6bd1a7a196858d6a28cb799965529570dc89f6bed0ea4c03da261c1f6aa231e9.pth
1,1350,4.28844383803202e-05,1.0420157332245202e-07,0.10460292700730187,2.2314655840193924,0.039894863422805425,0.03374616635003023,../../models/hcvdata/CTGAN/9d84494b526eb474577456960f6996013a6dc18e733d50334016345a23b49906.pth
4,1140,9.237063722838713e-05,2.0906200996117265e-06,0.10318064778168527,1.4200081770600876,0.03516218415493879,0.03716363401395329,../../models/hcvdata/CTGAN/36208f0ffbd624c4a20f8a4c33ccdab4b0b0339df18c4d8fd9353efe0bc52b8d.pth
4,1600,2.2003369218767857e-05,1.966500128331832e-05,0.09932904068267792,1.9811047895375105,0.038202648346781706,0.03245168331325416,../../models/hcvdata/CTGAN/d0e8ec44d1e92f43001a0587d3f6cd465505041652f950d769f24e041287f78c.pth
2,1140,2.6188672670788995e-05,2.0906200996117265e-06,0.09817549376071022,2.2035066816400346,0.03396123115561422,0.026164350763028622,../../models/hcvdata/CTGAN/2b86bfb22f93a743c0515ac2a5738026181b2c72428021288ef39645f31666a9.pth
5,390,1.4781496065824506e-05,1.3339249966653e-06,0.11510577186946694,2.213046028605677,0.03026766714758859,0.03238211565866932,../../models/hcvdata/CTGAN/2df67e7fb09d881b861c5f540cd5498b924ecbbe82beebdb799e9aa0958d453c.pth
5,550,0.0002871007429257022,1.0326490390866968e-07,0.09911810059986102,2.345876328012439,0.04899575971656263,0.054821423531446346,../../models/hcvdata/CTGAN/b56ee5502095e44b10e29d074b3b1a8ece2d1253d63c592c9835d6b64e4ed5c2.pth
3,1950,0.000826999749342929,0.00014036587824401559,0.11006425575044525,1.6559667997865322,0.04494225729796526,0.025451174645023576,../../models/hcvdata/CTGAN/59c702b388c654ccd2b5dddcc2e3063a651c4a0fdce7849478a0c93b670633a9.pth
1,1820,0.00362840503547672,4.0845877990954785e-06,0.10407360773890093,1.7692277304846684,0.03264792490629529,0.039862814214399835,../../models/hcvdata/CTGAN/41d417fec705b1fae05374211e446942e740fe4efdc0df7b498bd1be365f9215.pth
1,1800,0.0018477896626045442,1.252712307212558e-07,0.1066305669478493,1.57057023989714,0.03215735300778171,0.030445817424504737,../../models/hcvdata/CTGAN/3d850b3bc7e9e0340ed651ed3bb717c1ef37ec01bfba4ea8ae895ba6a718eca6.pth
3,1250,0.0005174048729080607,3.579182437879944e-07,0.10161086726302092,1.445533881400003,0.09446265058148132,0.03376419052476471,../../models/hcvdata/CTGAN/c8b7a8a2631bd4a371a4fa27ba64428deb326281ddde826c3480fa382b1fe310.pth
